Object_name,unique_index,video_id
right hand,1,P01_107
left hand,2,P01_107
soy milk,3,P01_107
cup,4,P01_107
food container,5,P01_107
cereal box,6,P01_107
cereal,7,P01_107
bread,8,P01_107
cupboard,9,P01_107
cereal bag,10,P01_107
tea towel/dish towel,11,P01_107
fridge,12,P01_107
tap,13,P01_107
sink,14,P01_107
drawer,15,P01_107
cutlery tray,16,P01_107
spoon,17,P01_107
bin/garbage can/recycling bin,18,P01_107
plate,19,P01_107
knife,20,P01_107
door,21,P01_107
left hand,1,P02_02
right hand,2,P02_02
sink,3,P02_02
left glove,4,P02_02
tap,5,P02_02
right glove,6,P02_02
sponge,7,P02_02
drainer,8,P02_02
water,9,P02_02
glass,10,P02_02
knife,11,P02_02
plate,12,P02_02
mug,13,P02_02
bag,14,P02_02
lid,15,P02_02
bin/garbage can/recycling bin,16,P02_02
spoon,17,P02_02
water filter,18,P02_02
drawer,19,P02_02
bottle,20,P02_02
bag roll,21,P02_02
liquid,22,P02_02
right hand,1,P02_09
left hand,2,P02_09
pan,3,P02_09
hob/cooktop/stovetop,4,P02_09
wooden spoon,5,P02_09
meat,6,P02_09
glass,7,P02_09
spoon,8,P02_09
sink,9,P02_09
tap,10,P02_09
bowl,11,P02_09
onion,12,P02_09
chopping board,13,P02_09
left glove,14,P02_09
lid,15,P02_09
right glove,16,P02_09
knife,17,P02_09
flour,18,P02_09
drainer,19,P02_09
cupboard,20,P02_09
mixture,21,P02_09
water,22,P02_09
sponge,23,P02_09
meat packaging,24,P02_09
oil bottle,25,P02_09
flour package,26,P02_09
drawer,27,P02_09
trash bin,28,P02_09
kettle,29,P02_09
towel,30,P02_09
yeast can,31,P02_09
salt,32,P02_09
chicken stock,33,P02_09
washing liquid,34,P02_09
yeast,35,P02_09
plate,36,P02_09
sugar,37,P02_09
salt bottle,38,P02_09
olive oil,39,P02_09
oven,40,P02_09
fork,41,P02_09
fridge,42,P02_09
onion peel,43,P02_09
stock,44,P02_09
cleaning liquid,45,P02_09
oil,46,P02_09
sink plug,47,P02_09
sugar jar,48,P02_09
garlic bottle,49,P02_09
herb,50,P02_09
water filter,51,P02_09
tray,52,P02_09
pepper package,53,P02_09
hot water,54,P02_09
meat package,55,P02_09
pepper lid,56,P02_09
plastic bowl,57,P02_09
pepper,58,P02_09
chicken stock package,59,P02_09
stock wrap,60,P02_09
herb bottle,61,P02_09
trash can,62,P02_09
can cover,63,P02_09
cap,64,P02_09
washing up soap,65,P02_09
onion end,66,P02_09
paprika,67,P02_09
tongs,68,P02_09
stand,69,P02_09
surface,70,P02_09
bits,71,P02_09
onion bag,72,P02_09
plastic cover,73,P02_09
box,74,P02_09
garlic,75,P02_09
glove,76,P02_09
liquid,77,P02_09
washing up liquid,78,P02_09
right hand,1,P02_12
left hand,2,P02_12
tray,3,P02_12
dough,4,P02_12
bowl,5,P02_12
dough ball,6,P02_12
plate,7,P02_12
pan,8,P02_12
oil,9,P02_12
spoon,10,P02_12
pie,11,P02_12
hob,12,P02_12
meat mix,13,P02_12
meat,14,P02_12
oil bottle,15,P02_12
cupboard,16,P02_12
drawer,17,P02_12
jar,18,P02_12
tupperware,19,P02_12
oven,20,P02_12
towel,21,P02_12
thyme,22,P02_12
yoghurt lid,23,P02_12
pine nut bag,24,P02_12
tahini,25,P02_12
yoghurt cup,26,P02_12
mixture,27,P02_12
lid,28,P02_12
pine nut,29,P02_12
yoghurt,30,P02_12
tahini jar,31,P02_12
herb jar,32,P02_12
chopping board,33,P02_12
tupperware lid,34,P02_12
bag,35,P02_12
coffee tray,36,P02_12
herb,37,P02_12
fridge,38,P02_12
tap,39,P02_12
sink,40,P02_12
paper towel,41,P02_12
right glove,42,P02_12
thyme jar,43,P02_12
timer,44,P02_12
water,45,P02_12
can,46,P02_12
oven switch,47,P02_12
glove,48,P02_12
timer button,49,P02_12
left glove,50,P02_12
left hand,1,P03_10
fridge,2,P03_10
right hand,3,P03_10
bag,4,P03_10
juice package,5,P03_10
glass,6,P03_10
pancake package,7,P03_10
cupboard,8,P03_10
bottle,9,P03_10
butter,10,P03_10
plate,11,P03_10
toaster,12,P03_10
pancake,13,P03_10
lid,14,P03_10
knife,15,P03_10
juice,16,P03_10
lunch box,17,P03_10
drainer,18,P03_10
left hand,1,P03_120
right hand,2,P03_120
bowl,3,P03_120
butter,4,P03_120
lemon,5,P03_120
foil,6,P03_120
grater,7,P03_120
chopping board,8,P03_120
weight tray,9,P03_120
squeezer,10,P03_120
lemon half,11,P03_120
scale,12,P03_120
butter slice,13,P03_120
paring knife,14,P03_120
hob/cooktop/stovetop,15,P03_120
spoon,16,P03_120
pot,17,P03_120
knife,18,P03_120
chef knife,19,P03_120
sugar,20,P03_120
tap,21,P03_120
cupboard,22,P03_120
tea towel/dish towel,23,P03_120
sugar tupperware,24,P03_120
oven,25,P03_120
tea towel,26,P03_120
egg carton,27,P03_120
fridge,28,P03_120
butter tupperware,29,P03_120
sink,30,P03_120
water,31,P03_120
drawer,32,P03_120
measuring jug,33,P03_120
towel,34,P03_120
weigh tray,35,P03_120
cloth,36,P03_120
right hand,1,P03_14
left hand,2,P03_14
broom,3,P03_14
floor,4,P03_14
rice bag,5,P03_14
saucepan,6,P03_14
dustpan,7,P03_14
hob,8,P03_14
brush,9,P03_14
cupboard,10,P03_14
container,11,P03_14
lid,12,P03_14
clothes,13,P03_14
rice,14,P03_14
drying rack,15,P03_14
fridge,16,P03_14
glass,17,P03_14
crisp/chips,18,P03_14
dust bits,19,P03_14
bin,20,P03_14
plate,21,P03_14
left hand,1,P03_22
right hand,2,P03_22
bag,3,P03_22
fridge,4,P03_22
plate,5,P03_22
lunch box,6,P03_22
drink,7,P03_22
cupboard,8,P03_22
bin/garbage can/recycling bin,9,P03_22
glass,10,P03_22
pancake,11,P03_22
right hand,1,P04_06
left hand,2,P04_06
pan,3,P04_06
hob/cooktop/stovetop,4,P04_06
spatula,5,P04_06
bread,6,P04_06
spinach,7,P04_06
plate,8,P04_06
chopping board,9,P04_06
potato curry,10,P04_06
saag paneer,11,P04_06
spoon,12,P04_06
dough,13,P04_06
food,14,P04_06
rolling pin,15,P04_06
knife,16,P04_06
box,17,P04_06
sink,18,P04_06
spinach bag,19,P04_06
drawer,20,P04_06
